iter	Passed	Remaining
0	1	189
1	3	170
2	5	171
3	6	156
4	8	158
5	10	163
6	12	166
7	14	168
8	16	165
9	18	163
10	20	162
11	21	159
12	24	161
13	26	160
14	28	161
15	31	165
16	34	166
17	35	160
18	37	159
19	38	155
20	40	153
21	43	153
22	44	150
23	46	146
24	47	143
25	49	140
26	50	137
27	52	134
28	53	131
29	55	128
30	56	125
31	57	122
32	59	120
33	60	117
34	62	115
35	63	112
36	65	110
37	66	108
38	67	105
39	69	103
40	70	101
41	70	97
42	72	95
43	73	93
44	74	91
45	75	89
46	77	87
47	78	85
48	79	83
49	81	81
50	82	79
51	83	77
52	85	75
53	86	73
54	86	70
55	88	69
56	89	67
57	90	65
58	91	63
59	92	61
60	93	59
61	94	58
62	96	56
63	97	55
64	99	53
65	100	51
66	101	50
67	103	48
68	104	46
69	105	45
70	105	43
71	106	41
72	107	39
73	108	38
74	110	36
75	111	35
76	113	33
77	114	32
78	115	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	122	21
85	122	20
86	123	18
87	125	17
88	126	15
89	127	14
90	127	12
91	128	11
92	129	9
93	130	8
94	131	6
95	132	5
96	133	4
97	134	2
98	136	1
99	136	0
