iter	Passed	Remaining
0	147	147291
1	148	73917
2	148	49449
3	149	37213
4	150	29873
5	150	24966
6	151	21467
7	151	18837
8	152	16793
9	153	15162
10	153	13826
11	154	12733
12	155	11820
13	156	11031
14	157	10331
15	157	9716
16	158	9171
17	159	8687
18	159	8246
19	160	7863
20	161	7520
21	161	7199
22	162	6905
23	163	6633
24	163	6383
25	164	6157
26	164	5945
27	165	5745
28	166	5558
29	166	5386
30	167	5229
31	168	5083
32	168	4949
33	169	4823
34	170	4699
35	171	4587
36	171	4473
37	172	4368
38	173	4267
39	173	4171
40	174	4084
41	175	3999
42	176	3920
43	177	3846
44	177	3768
45	178	3694
46	178	3624
47	179	3555
48	179	3492
49	180	3434
50	181	3376
51	182	3326
52	183	3282
53	184	3234
54	185	3187
55	186	3141
56	187	3094
57	187	3047
58	188	3005
59	189	2964
60	189	2921
61	190	2879
62	190	2838
63	191	2799
64	192	2762
65	192	2728
66	193	2692
67	193	2658
68	194	2626
69	195	2595
70	196	2568
71	197	2541
72	198	2515
73	198	2489
74	199	2461
75	200	2436
76	201	2411
77	201	2386
78	202	2362
79	203	2341
80	204	2317
81	205	2295
82	205	2268
83	205	2245
84	206	2223
85	207	2201
86	207	2180
87	208	2159
88	209	2139
89	209	2122
90	210	2105
91	211	2090
92	212	2076
93	213	2059
94	214	2044
95	215	2028
96	216	2014
97	217	2000
98	218	1984
99	218	1967
100	219	1951
101	219	1935
102	220	1921
103	221	1905
104	221	1890
105	222	1874
106	222	1859
107	223	1846
108	224	1836
109	225	1827
110	226	1816
111	227	1802
112	228	1790
113	228	1777
114	229	1764
115	229	1751
116	230	1738
117	230	1726
118	231	1714
119	232	1702
120	232	1690
121	233	1677
122	233	1665
123	234	1654
124	234	1642
125	235	1631
126	235	1620
127	236	1609
128	236	1599
129	237	1589
130	238	1581
131	239	1572
132	239	1563
133	240	1555
134	241	1546
135	242	1538
136	242	1529
137	243	1521
138	244	1513
139	245	1506
140	245	1498
141	246	1488
142	246	1479
143	247	1470
144	247	1462
145	248	1454
146	249	1446
147	250	1439
148	250	1430
149	251	1423
150	252	1416
151	252	1410
152	253	1404
153	254	1398
154	255	1392
155	255	1384
156	256	1378
157	257	1371
158	257	1363
159	258	1356
160	258	1348
161	259	1341
162	259	1334
163	260	1327
164	261	1321
165	261	1315
166	262	1308
167	263	1302
168	263	1296
169	264	1290
170	264	1283
171	265	1277
172	266	1272
173	267	1268
174	267	1263
175	268	1259
176	269	1253
177	270	1248
178	270	1242
179	271	1236
180	272	1231
181	272	1225
182	273	1220
183	273	1214
184	274	1208
185	274	1203
186	275	1198
187	276	1192
188	276	1187
189	277	1182
190	278	1177
191	278	1172
192	279	1167
193	279	1162
194	280	1158
195	281	1154
196	282	1150
197	282	1145
198	283	1141
199	284	1136
200	284	1132
201	285	1127
202	285	1122
203	286	1118
204	287	1113
205	287	1109
206	288	1104
207	289	1100
208	289	1096
209	290	1092
210	290	1087
211	291	1083
212	292	1079
213	292	1074
214	293	1070
215	293	1066
216	294	1062
217	295	1058
218	295	1054
219	296	1050
220	296	1046
221	297	1042
222	298	1038
223	298	1034
224	299	1030
225	299	1026
226	300	1022
227	300	1018
228	301	1015
229	302	1011
230	302	1007
231	303	1003
232	303	1000
233	304	996
234	304	992
235	305	988
236	305	985
237	306	981
238	307	978
239	307	975
240	308	972
241	309	969
242	309	965
243	310	961
244	311	958
245	311	955
246	312	952
247	312	949
248	313	945
249	314	942
250	314	939
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	318	920
257	318	916
258	319	913
259	320	910
260	320	907
261	321	905
262	321	902
263	322	899
264	323	896
265	323	893
266	324	890
267	325	887
268	325	884
269	326	881
270	326	878
271	327	876
272	328	873
273	328	870
274	329	868
275	329	865
276	330	862
277	331	860
278	331	857
279	332	854
280	332	851
281	333	849
282	334	846
283	334	843
284	335	841
285	335	838
286	336	836
287	337	834
288	338	831
289	338	829
290	339	826
291	340	824
292	340	822
293	341	819
294	341	817
295	342	814
296	343	812
297	343	810
298	344	807
299	345	805
300	345	802
301	346	800
302	346	797
303	347	795
304	348	793
305	348	790
306	349	788
307	350	786
308	350	784
309	351	781
310	352	780
311	352	778
312	353	775
313	353	773
314	354	770
315	354	768
316	355	766
317	356	764
318	356	762
319	357	760
320	358	757
321	359	755
322	359	753
323	360	751
324	360	749
325	361	747
326	362	745
327	362	743
328	363	740
329	363	738
330	364	736
331	365	734
332	365	732
333	366	730
334	367	728
335	367	726
336	368	725
337	369	723
338	369	721
339	370	719
340	371	717
341	371	714
342	372	712
343	372	711
344	373	708
345	374	707
346	374	705
347	375	703
348	376	701
349	376	699
350	377	697
351	377	694
352	378	692
353	378	690
354	379	688
355	380	687
356	380	685
357	381	684
358	382	682
359	382	680
360	383	679
361	384	677
362	384	675
363	385	673
364	385	671
365	386	669
366	387	667
367	387	665
368	388	664
369	388	662
370	389	660
371	390	658
372	390	656
373	391	655
374	392	653
375	392	651
376	393	649
377	393	648
378	394	646
379	395	644
380	395	642
381	396	640
382	396	639
383	397	637
384	397	635
385	398	633
386	399	632
387	399	630
388	400	629
389	401	627
390	401	625
391	402	624
392	403	622
393	403	620
394	404	619
395	404	617
396	405	615
397	405	613
398	406	612
399	406	610
400	407	608
401	407	606
402	408	605
403	409	604
404	410	602
405	410	600
406	411	599
407	412	598
408	412	596
409	413	595
410	414	593
411	414	591
412	415	590
413	415	588
414	416	586
415	416	585
416	417	583
417	418	582
418	418	580
419	419	579
420	420	577
421	420	576
422	421	574
423	421	573
424	422	571
425	423	570
426	424	569
427	424	567
428	425	566
429	426	565
430	427	563
431	427	562
432	428	560
